activityId,activityName,activityType,processInstanceId,taskId,assignee,startTime,endTime,durationInMillis,tenantId
Activity_11txvzf,Produce Medicine,manualTask,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:15:55.55,2020-12-16 22:15:55.55,2,demo
Activity_11txvzf,Produce Medicine,manualTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:02:47.47,2020-12-16 22:02:47.47,1,demo
Activity_14l32iy,Decide on manufactorability,businessRuleTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:38:12.12,2020-12-15 21:38:12.12,18,demo
Activity_14l32iy,Decide on manufactorability,businessRuleTask,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:14:44.44,2020-12-16 22:14:44.44,10,demo
Activity_14l32iy,Decide on manufactorability,businessRuleTask,83468421-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:00:30.30,2020-12-16 22:00:31.31,419,demo
Activity_14l32iy,Decide on manufactorability,businessRuleTask,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:11:17.17,2020-12-16 22:11:17.17,29,demo
Activity_14l32iy,Decide on manufactorability,businessRuleTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:01:33.33,2020-12-16 22:01:34.34,143,demo
Activity_14l32iy,Decide on manufactorability,businessRuleTask,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 22:00:17.17,2020-12-15 22:00:17.17,8,demo
Activity_1919wh9,Produce Medicine,manualTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 21:40:31.31,2020-12-15 21:40:31.31,0,demo
Activity_1919wh9,Produce Medicine,manualTask,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,NULL,NULL,2020-12-16 22:12:19.19,2020-12-16 22:12:19.19,0,demo
Activity_1919wh9,Produce Medicine,manualTask,ec7653b7-3f16-11eb-9593-2ee820bf2e10,NULL,NULL,2020-12-15 22:03:09.09,2020-12-15 22:03:09.09,0,demo
Activity_1asig2f,Fill in order form,userTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,3208987d-3f11-11eb-9593-2ee820bf2e10,demo,2020-12-15 21:07:45.45,2020-12-15 21:37:17.17,1771635,demo
Activity_1asig2f,Fill in order form,userTask,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,84783afd-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:13:18.18,2020-12-16 22:14:09.09,50991,demo
Activity_1asig2f,Fill in order form,userTask,83468421-3fe1-11eb-9139-ae3f3df38a4e,8c23a69f-3fe1-11eb-9139-ae3f3df38a4e,demo,2020-12-16 21:59:12.12,2020-12-16 21:59:42.42,30444,demo
Activity_1asig2f,Fill in order form,userTask,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,24b68750-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:10:37.37,2020-12-16 22:11:02.02,25145,demo
Activity_1asig2f,Fill in order form,userTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,d26c5ae4-3fe1-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:01:10.10,2020-12-16 22:01:25.25,15940,demo
Activity_1asig2f,Fill in order form,userTask,ec7653b7-3f16-11eb-9593-2ee820bf2e10,3f798c45-3f17-11eb-9593-2ee820bf2e10,demo,2020-12-15 21:51:05.05,2020-12-15 21:59:32.32,507345,demo
Activity_1c3t2y7,Define OrderType,userTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,260dbb42-3f11-11eb-9593-2ee820bf2e10,demo,2020-12-15 21:07:25.25,2020-12-15 21:07:45.45,20096,demo
Activity_1c3t2y7,Define OrderType,userTask,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,80b6c622-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:13:11.11,2020-12-16 22:13:18.18,6291,demo
Activity_1c3t2y7,Define OrderType,userTask,83468421-3fe1-11eb-9139-ae3f3df38a4e,83496a54-3fe1-11eb-9139-ae3f3df38a4e,demo,2020-12-16 21:58:57.57,2020-12-16 21:59:12.12,14835,demo
Activity_1c3t2y7,Define OrderType,userTask,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,a5cb12c5-3fe2-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:07:04.04,2020-12-16 22:10:37.37,212929,demo
Activity_1c3t2y7,Define OrderType,userTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,cd7488e9-3fe1-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:01:01.01,2020-12-16 22:01:10.10,8329,demo
Activity_1c3t2y7,Define OrderType,userTask,ec7653b7-3f16-11eb-9593-2ee820bf2e10,ec767aca-3f16-11eb-9593-2ee820bf2e10,demo,2020-12-15 21:48:45.45,2020-12-15 21:51:05.05,139269,demo
Activity_1dfe8kv,Finish documentation,userTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,0c5f13fd-3f16-11eb-9593-2ee820bf2e10,demo,2020-12-15 21:42:29.29,2020-12-15 21:43:00.00,30407,demo
Activity_1dfe8kv,Finish documentation,userTask,80b677ff-3fe3-11eb-9139-ae3f3df38a4e,05227636-3fe4-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:16:54.54,2020-12-16 22:17:02.02,8546,demo
Activity_1dfe8kv,Finish documentation,userTask,a5caebb2-3fe2-11eb-9139-ae3f3df38a4e,78d28285-3fe3-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:12:58.58,2020-12-16 22:13:05.05,6627,demo
Activity_1dfe8kv,Finish documentation,userTask,cd743ac6-3fe1-11eb-9139-ae3f3df38a4e,7d542fa8-3fe2-11eb-9139-ae3f3df38a4e,demo,2020-12-16 22:05:56.56,2020-12-16 22:06:06.06,9311,demo
Activity_1dfe8kv,Finish documentation,userTask,ec7653b7-3f16-11eb-9593-2ee820bf2e10,4151476e-3f19-11eb-9593-2ee820bf2e10,demo,2020-12-15 22:05:27.27,2020-12-15 22:05:51.51,24110,demo
Activity_1gz848z,Generate Pharmacy Production Protocol,userTask,260dbb3f-3f11-11eb-9593-2ee820bf2e10,b0108d7b-3f15-11eb-9593-2ee820bf2e10,demo,2020-12-15 21:39:55.55,2020-12-15 21:40:31.31,36223,demo
